official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
!Xun,Vulnerable,18000,South Africa,0,0,0,0,0,3,68.819,75.7
!Xun,Vulnerable,18000,Namibia,0,0,0,0,0,3,68.819,75.7
!Xun,Vulnerable,18000,Angola,0,0,0,0,0,3,68.819,75.7
(Lower) Tanana,Critically Endangered,25,United States,0,0,0,0,0,1,83.298,93.1
A'ingae,Vulnerable,1500,Colombia,0,0,0,0,0,2,82.354,77.3
A'ingae,Vulnerable,1500,Ecuador,0,0,0,0,0,2,82.354,77.3
Aasáx,Extinct,0,Tanzania,0,0,0,0,0,1,37.409,29.1
Abaga,Critically Endangered,5,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abai Sungai,Endangered,500,Malaysia,0,0,0,0,0,1,78.716,97.7
Abau,Threatened,7000,Papua New Guinea,0,0,0,0,1,1,13.723,24.1
Abaza,Vulnerable,47880,Russian Federation,0,0,0,0,0,1,75.331,92.2
Abellen Ayta,Threatened,3500,Philippines,0,0,0,0,0,1,48.287,83.8
Abinomn,Critically Endangered,50,Indonesia,0,0,0,0,0,1,58.572,69.2
Abom,Critically Endangered,15,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abu,Threatened,2347,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abu',Threatened,2560,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abui,Threatened,16000,Indonesia,0,0,0,0,0,1,58.572,69.2
Abun,Threatened,3000,Indonesia,0,0,0,0,0,1,58.572,69.2
Achagua,Endangered,283,Colombia,0,0,0,0,0,1,82.354,77.3
Aché,Severely Endangered,200,Paraguay,0,0,0,0,0,1,63.149,78.1
Achi',Vulnerable,51593,Guatemala,0,0,0,0,0,1,53.098,56.1
Achuar,Threatened,5443,Peru,0,0,0,0,0,2,78.922,79.5
Achuar,Threatened,5443,Ecuador,0,0,0,0,0,2,78.922,79.5
Achumawi,Critically Endangered,10,United States,0,0,0,0,0,1,83.298,93.1
Acoma-Laguna,Threatened,4000,United States,0,0,0,0,0,1,83.298,93.1
Adamorobe Sign Language,Threatened,35,Ghana,0,0,0,0,0,1,59.238,69.9
Adang,Endangered,7000,Indonesia,0,1,0,0,0,1,58.572,69.2
Adasen Itneg,Threatened,4000,Philippines,0,0,0,0,0,1,48.287,83.8
Adi,At risk,100190,India,0,1,0,0,1,2,64.57,77.5
Adi,At risk,100190,China,0,1,0,0,1,2,64.57,77.5
Adithinngithigh,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Adnyamathanha,Endangered,100,Australia,0,0,0,0,0,1,86.617,97.1
