official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
!Xun,Vulnerable,18000,South Africa;Namibia;Angola,0,0,0,0,0,3,68.819,75.7
(Lower) Tanana,Critically Endangered,25,United States,0,0,0,0,0,1,83.298,93.1
A'ingae,Vulnerable,1500,Colombia;Ecuador,0,0,0,0,0,2,82.354,77.3
Aasáx,Extinct,0,Tanzania,0,0,0,0,0,1,37.409,29.1
Abaga,Critically Endangered,5,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abai Sungai,Endangered,500,Malaysia,0,0,0,0,0,1,78.716,97.7
Abau,Threatened,7000,Papua New Guinea,0,0,0,0,1,1,13.723,24.1
Abaza,Vulnerable,47880,Russian Federation,0,0,0,0,0,1,75.331,92.2
Abellen Ayta,Threatened,3500,Philippines,0,0,0,0,0,1,48.287,83.8
Abinomn,Critically Endangered,50,Indonesia,0,0,0,0,0,1,58.572,69.2
Abom,Critically Endangered,15,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abu,Threatened,2347,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abu',Threatened,2560,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Abui,Threatened,16000,Indonesia,0,0,0,0,0,1,58.572,69.2
Abun,Threatened,3000,Indonesia,0,0,0,0,0,1,58.572,69.2
Achagua,Endangered,283,Colombia,0,0,0,0,0,1,82.354,77.3
Aché,Severely Endangered,200,Paraguay,0,0,0,0,0,1,63.149,78.1
Achi',Vulnerable,51593,Guatemala,0,0,0,0,0,1,53.098,56.1
Achuar,Threatened,5443,Peru;Ecuador,0,0,0,0,0,2,78.922,79.5
Achumawi,Critically Endangered,10,United States,0,0,0,0,0,1,83.298,93.1
Acoma-Laguna,Threatened,4000,United States,0,0,0,0,0,1,83.298,93.1
Adamorobe Sign Language,Threatened,35,Ghana,0,0,0,0,0,1,59.238,69.9
Adang,Endangered,7000,Indonesia,0,1,0,0,0,1,58.572,69.2
Adasen Itneg,Threatened,4000,Philippines,0,0,0,0,0,1,48.287,83.8
Adi,At risk,100190,India;China,0,1,0,0,1,2,64.57,77.5
Adithinngithigh,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Adnyamathanha,Endangered,100,Australia,0,0,0,0,0,1,86.617,97.1
Adzera,Vulnerable,28900,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aer,Endangered,200,Pakistan,0,0,0,0,0,1,38.04,27.4
Afra,Threatened,115,Indonesia,0,0,0,0,0,1,58.572,69.2
Aftari,Endangered,500,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
Agavotaguerra,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
Aghu-Tharnggala,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Aghul,Threatened,18000,Russian Federation;Azerbaijan,0,0,0,0,0,2,75.331,92.2
Agi,Endangered,670,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aguaruna,Vulnerable,55000,Peru,0,0,0,0,0,1,78.922,79.5
Aguna,Threatened,3470,Benin,0,0,0,0,0,1,50.1,32.2
Agwamin,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
Ahamb,Endangered,968,Vanuatu,0,0,0,0,0,1,25.976,45.7
Àhàn,Endangered,300,Nigeria,0,0,0,0,0,1,54.283,39.2
Ahtna,Critically Endangered,30,United States,0,0,0,0,0,1,83.298,93.1
Aikanã,Vulnerable,200,Brazil,0,0,0,0,0,1,87.788,84.2
Aiku,Endangered,819,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aimele,Endangered,140,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ainbai,Endangered,110,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ainu (China),Threatened,12000,China,0,0,0,0,0,1,64.57,77.5
Ainu (Japan),Critically Endangered,2,Japan,0,0,0,0,0,1,92.043,87.0
Aiome,Endangered,620,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aisi,Endangered,250,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Äiwoo,Vulnerable,7926,Solomon Islands,0,0,0,0,0,1,26.037,42.5
Ajumbu,Endangered,300,Cameroon,0,0,0,0,0,1,59.315,41.9
Ak,Severely Endangered,80,Papua New Guinea,2,5,11,2,2,1,13.723,24.1
Akateko,Threatened,5572,Guatemala;Mexico,0,0,0,0,0,2,81.582,81.2
Ake,Vulnerable,2000,Nigeria,0,0,0,0,0,1,54.283,39.2
Akeu,Threatened,5000,China;Myanmar;Thailand,0,0,0,0,0,3,64.57,89.5
Akhvakh,Threatened,5000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Akkala Saami,Critically Endangered,1,Russian Federation,0,0,0,0,0,1,75.331,92.2
Akoye,Endangered,800,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Akum,Endangered,600,Nigeria;Cameroon,0,0,0,0,0,2,59.315,41.9
Akuntsú,Critically Endangered,3,Brazil,0,0,0,0,0,1,87.788,84.2
Al-Sayyid Bedouin Sign Language,Endangered,150,Israel,0,0,0,0,0,1,92.854,87.0
Alabama,Endangered,300,United States,0,0,0,0,0,1,83.298,93.1
Alabugat Tatar,Threatened,400,Russian Federation,0,0,0,0,0,1,75.331,92.2
Alago,Vulnerable,15000,Nigeria,0,0,0,0,0,1,54.283,39.2
Alagwa,Threatened,10000,Tanzania,0,0,0,0,0,1,37.409,29.1
Alamblak,Threatened,1200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Alawa,Critically Endangered,17,Australia,0,0,0,0,0,1,86.617,97.1
Albarradas Zapotec,Threatened,5500,Mexico,0,0,0,0,0,1,81.582,81.2
Alekano,Vulnerable,25000,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Aleut,Endangered,100,Russian Federation;United States,0,0,0,0,0,2,83.298,93.1
Alfendio,Endangered,633,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Algherese Catalan,Vulnerable,30000,Italy,0,0,0,0,0,1,71.973,87.0
Alngith,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Alto Marañón Quechua,Vulnerable,83400,Peru,0,0,0,0,0,1,78.922,79.5
Alu,Threatened,1880,Papua New Guinea,1,1,1,1,0,1,13.723,24.1
Alune,Vulnerable,12000,Indonesia,0,0,0,0,0,1,58.572,69.2
Aluo,Endangered,40000,China,0,0,0,0,0,1,64.57,77.5
Alutiiq,Severely Endangered,200,United States,0,0,0,0,0,1,83.298,93.1
Alutor,Severely Endangered,2000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Alyawarr,Vulnerable,1664,Australia,0,0,0,0,0,1,86.617,97.1
Ama,Vulnerable,450,Papua New Guinea,3,2,1,4,0,1,13.723,24.1
Amahai,Critically Endangered,50,Indonesia,0,0,0,0,0,1,58.572,69.2
Amal,Endangered,388,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Amami,Severely Endangered,37000,Japan,0,0,0,0,0,1,92.043,87.0
Amanab,Threatened,3500,Indonesia;Papua New Guinea,0,0,0,0,0,2,58.572,69.2
Amara,Endangered,231,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Amarasi,Vulnerable,70000,Indonesia,0,0,0,0,0,1,58.572,69.2
Ambakich,Endangered,770,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ambele,Vulnerable,3600,Cameroon,0,0,0,0,0,1,59.315,41.9
Ambulas,Vulnerable,33000,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ampari,Threatened,5200,Mali,0,0,0,0,0,1,46.189,35.1
Ampibabo,Threatened,6000,Indonesia,0,0,0,0,0,1,58.572,69.2
Amto,Endangered,230,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Amur Nivkh,Severely Endangered,500,Russian Federation,0,0,0,0,0,1,75.331,92.2
Amurdak,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
Anaang,Vulnerable,733040,Nigeria,0,0,0,0,0,1,54.283,39.2
Anakalangu,Vulnerable,25000,Indonesia,0,0,0,0,0,1,58.572,69.2
Anam,Threatened,1070,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Andajin,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Andarum,Endangered,830,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Ande,Endangered,500,Vanuatu,0,2,1,1,0,1,25.976,45.7
Andi,Vulnerable,20000,Russian Federation,2,0,0,1,1,1,75.331,92.2
