Position,English Language Name,Number of Speakers
1,English,"1,500,000,000"
2,Mandarin Chinese,"1,200,000,000"
3,Hindi,"609,100,000"
4,Spanish,"558,500,000"
5,Standard Arabic,"334,800,000"
6,French,"311,900,000"
7,Bengali,"284,300,000"
8,Portuguese,"266,600,000"
9,Russian,"253,400,000"
10,Indonesian,"252,400,000"
11,Urdu,"246,000,000"
12,Standard German,"134,000,000"
13,Japanese,"125,600,000"
14,Nigerian Pidgin,"120,700,000"
15,Egyptian Arabic,"118,600,000"
16,Marathi,"99,300,000"
17,Vietnamese,"97,000,000"
18,Telugu,"95,800,000"
19,Hausa,"94,400,000"
20,Turkish,"91,300,000"
21,Western Punjabi,"90,300,000"
22,Swahili,"87,200,000"
23,Tagalog,"86,900,000"
24,Tamil,"86,300,000"
25,Yue Chinese,"85,700,000"
26,Wu Chinese,"83,400,000"
27,Iranian Persian,"82,600,000"
28,Korean,"81,600,000"
29,Thai,"71,400,000"
30,Javanese,"69,200,000"
31,Italian,"66,200,000"
32,Gujarati,"62,500,000"
33,Levantine Arabic,"60,400,000"
34,Amharic,"60,000,000"
35,Kannada,"59,700,000"
36,Bhojpuri,"52,700,000"
37,Sudanese Arabic,"52,300,000"
38,Yoruba,"49,900,000"
39,Jinyu Chinese,"48,000,000"
40,Min Nan Chinese,"45,800,000"
41,Polish,"45,300,000"
42,Burmese,"44,400,000"
43,Algerian Arabic,"41,600,000"
44,Hakka Chinese,"40,700,000"
45,Lingala,"40,600,000"
46,Moroccan Arabic,"40,200,000"
47,Odia,"39,500,000"
48,Ukrainian,"39,000,000"
49,Xiang Chinese,"38,200,000"
50,Malayalam,"38,200,000"
51,Sindhi,"36,900,000"
52,Eastern Punjabi,"36,500,000"
53,Sunda,"35,500,000"
54,Igbo,"33,700,000"
55,Dari,"33,400,000"
56,Nepali,"33,100,000"
57,Malay,"29,500,000"
58,Northern Uzbek,"29,400,000"
59,Zulu,"27,800,000"
60,Sa'idi Arabic,"27,300,000"
61,Northern Pashto,"27,200,000"
62,West Central Oromo,"27,000,000"
63,Saraiki,"25,600,000"
64,Dutch,"25,400,000"
65,Somali,"24,700,000"
66,Romanian,"23,700,000"
67,Assamese,"23,600,000"
68,Gan Chinese,"22,600,000"
69,Southern Pashto,"21,700,000"
70,Cebuano,"21,400,000"
71,Kazakh,"21,400,000"
72,Magahi,"21,000,000"
73,Najdi Arabic,"20,900,000"
74,Sinhala,"20,200,000"
75,Mesopotamian Arabic,"20,100,000"
76,Xhosa,"19,200,000"
77,Khmer,"19,000,000"
78,Afrikaans,"18,100,000"
79,Nigerian Fulfulde,"18,000,000"
80,Maithili,"17,600,000"
81,Wolof,"17,300,000"
82,Northern Kurdish,"17,200,000"
83,Chhattisgarhi,"16,300,000"
84,Kinyarwanda,"15,300,000"
85,Northeastern Thai,"15,100,000"
86,Chichewa,"14,500,000"
87,Bamanankan,"14,400,000"
88,Shona,"14,100,000"
89,South Azerbaijani,"13,800,000"
90,Setswana,"13,700,000"
91,Northern Sotho,"13,700,000"
92,Bavarian,"13,700,000"
93,Haitian Creole,"13,700,000"
94,Uyghur,"13,600,000"
95,Southern Sotho,"13,500,000"
96,Greek,"13,300,000"
97,Swedish,"13,300,000"
98,Chittagonian,"13,000,000"
99,Rundi,"12,900,000"
100,Jula,"12,800,000"
101,Deccan,"12,800,000"
102,Bajjika,"12,700,000"
103,Ganda,"12,600,000"
104,Sanaani Arabic,"12,600,000"
105,Tunisian Arabic,"12,500,000"
106,Czech,"12,500,000"
107,Kituba,"12,400,000"
108,Hijazi Arabic,"12,300,000"
109,Ta'izzi-Adeni Arabic,"12,200,000"
110,Hungarian,"12,100,000"
111,Sadri,"12,100,000"
