,Language,Family,Branch,Numbers of speakers (millions),Numbers of speakers (millions),Numbers of speakers (millions)
,Language,Family,Branch,First- language (L1),Second- language (L2),Total (L1+L2)
0,English (excl. creole languages),Indo-European,Germanic,390,1138,1528
1,"Mandarin Chinese (incl. Standard Chinese, but excl. other varieties)",Sino-Tibetan,Sinitic,990,194,1184
2,Hindi (excl. Urdu),Indo-European,Indo-Aryan,345,264,609
3,Spanish (excl. creole languages),Indo-European,Romance,484,74,558
4,Modern Standard Arabic (excl. dialects),Afro-Asiatic,Semitic,0[a],335,335
5,French (excl. creole languages),Indo-European,Romance,74,238,312
6,Bengali,Indo-European,Indo-Aryan,242,43,284
7,Portuguese (excl. creole languages),Indo-European,Romance,250,17,267
8,Russian,Indo-European,Balto-Slavic,145,108,253
9,Indonesian (excl. other Austronesian),Austronesian,Malayo-Polynesian,75,177,252
10,Urdu (excl. Hindi),Indo-European,Indo-Aryan,78,168,246
11,Standard German,Indo-European,Germanic,76,58,134
12,Japanese,Japonic,—,124,2,126
13,Nigerian Pidgin,English Creole,Krio,5,116,121
14,Egyptian Arabic (excl. other Arabic dialects),Afro-Asiatic,Semitic,84,35,119
15,Marathi,Indo-European,Indo-Aryan,83,16,99
16,Vietnamese,Austroasiatic,Vietic,86,11,97
17,Telugu,Dravidian,South-Central,83,13,96
18,Hausa,Afro-Asiatic,Chadic,58,36,94
19,Turkish,Turkic,Oghuz,85,6,91
20,Western Punjabi (excl. Eastern Punjabi),Indo-European,Indo-Aryan,—,—,90
21,Swahili,Niger–Congo,Bantu,4,83,87
22,Tagalog[b],Austronesian,Malayo-Polynesian,33,54,87
23,Tamil,Dravidian,South,79,8,86
24,Yue Chinese (incl. Cantonese),Sino-Tibetan,Sinitic,85,1,86
25,Wu Chinese (incl. Shanghainese),Sino-Tibetan,Sinitic,83,<1,83
26,Iranian Persian (excl. other Persian dialects),Indo-European,Iranian,65,17,83
27,Korean,Koreanic,—,81,<1,82
28,Thai,Kra–Dai,Zhuang–Tai,27,44,71
29,Javanese,Austronesian,Malayo-Polynesian,—,—,69
30,Italian,Indo-European,Romance,63,3,66
31,Gujarati,Indo-European,Indo-Aryan,58,5,62
32,Levantine Arabic (excl. other Arabic dialects),Afro-Asiatic,Semitic,58,3,60
33,Amharic,Afro-Asiatic,Semitic,35,25,60
34,Kannada,Dravidian,South,44,15,59
35,Bhojpuri,Indo-European,Indo-Aryan,53,<1,53
36,Sudanese Arabic,Afro-Asiatic,Semitic,41,11,52
