STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MWI,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Malawi,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,287.47082242672946,276.4070627247165,253.3426979051326,252.44207460012237,239.74828969102958,216.05413614039145,217.87018994660036,207.60589473717945,229.42184392272844,252.19590741942966,286.73059896826936,325.75273105930967,258.39343087755714,293.0168830799217,169.1965269196394,200.36237000724722,320.6627355591374,366.9544612741043,236.04547945050393,233.93598619787292,224.22415918428038,215.47452489835686,428.2104398383979,383.3485968526416,404.6742484454283,414.36112198447466,440.82214902387295,475.1802616593313,554.0488203961194,625.8697298696254,683.1246947167995,763.0610003945718,558.46208832772,496.94736826731287,529.5133440205997,539.605363240686,450.50610551071867,495.76968336716527,533.2025671893307,580.8891397624755,602.5074781761056,617.4469944510071,604.2697403603173,633.214767978695,522.5703936425472
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Algeria,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,238.39247666644698,209.37067265533372,169.60286272132987,225.58466021099338,238.86380154501535,253.62205998577764,241.44896961657966,261.79244212400226,292.43603636856125,315.9146557342367,352.84576655792785,360.1110817078451,469.03099651051065,589.5181269352211,872.8892774391838,992.3020373784112,1080.3862067560906,1232.4941866432143,1505.9422212797674,1843.1192956598443,2275.779711588995,2307.33434430543,2274.8780099034934,2373.825119684734,2524.380714031431,2632.517111090753,2800.202708121873,2847.0776691987967,2450.872420789609,2247.460271249201,2445.183327402582,1759.1120164822912,1802.6930080128882,1831.048009764494,1525.540617602877,1466.9480676041517,1616.8319872128511,1628.7610056150634,1603.366232008358,1596.118222390247,1772.928691227614,1896.3002087801287,1937.4641141301884,2283.7729934612553,2816.9938496055483,3233.1333963421216,3660.661047453223,4167.451699375306,5180.918815146864,4235.42990456612,4912.785855036717,5916.3136436434315,6033.648846895432,5979.601389605846,6094.693923149557,4685.059027290017,4424.985290275557,4554.667539578281,4577.210291804906,4468.453418836562,3743.5419522928983,4160.559267369248,4960.303343328876,5370.477235078005,5752.990766514655
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MEX,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Mexico,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,355.07519956301786,373.71221699547095,388.4567024114983,419.55206632484885,480.7042144377452,505.8544194988164,544.9358541934495,575.7690375344182,615.9229121288416,659.7175068511704,699.0068454850287,747.9123610032542,836.5696734461385,993.0428795484256,1256.1028060132921,1491.970486111111,1465.498778624739,1314.620444816446,1604.4092045248242,2049.2646887181627,3054.6216229178413,3829.1443754412853,2620.957933929473,2169.8528527922285,2506.307427547546,2601.708252266837,1756.9356336749076,1888.2631431040998,2278.812227209922,2725.055722754416,3154.4692034903796,3708.842054815697,4220.566436770572,6048.348403880993,6202.365883728625,4183.878477274793,4674.367927336813,5567.355995166675,5832.693420044676,6499.971829504254,7524.027138009098,7952.76479510706,7983.033983817592,7434.0746485155005,7849.667596495654,8671.758918851627,9512.635753466991,10134.332713811855,10523.768540324385,8423.569332147112,9728.800783770816,10664.49440323125,10744.133524268636,11216.800850542808,11391.3773497683,10021.238611882723,9097.923976747688,9649.278167724024,10084.793756202112,10369.555358527137,8841.270750398684,10314.050672211482,11405.79404737593,13860.95978093256,14185.781224852855
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NAC,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,North America,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2933.326120761624,2985.3450953455854,3148.480344948866,3276.2405732953503,3473.1565868210782,3722.1791383506124,4035.8818535580194,4223.191671356473,4570.75388903652,4902.691249911012,5130.464966588291,5506.319957353046,5999.1629003962325,6642.7174780485075,7209.110567185415,7775.529503667464,8615.910363957964,9403.390834877619,10427.5235353317,11518.754248332218,12441.490408386675,13820.193280509822,14247.347986306855,15341.785247096775,16808.917340104454,17838.582544609508,18625.659439701216,19679.337090798384,21180.347235177418,22652.663045871894,23653.502005869716,24094.130691652135,24974.740563087835,25772.072437097322,26931.65092829002,27897.934607713934,29112.24514369214,30518.071888443934,31691.94925372124,33320.939627808126,35151.361393698695,35831.45692137989,36652.01865850079,38395.52056520188,40788.4744089861,43368.57839406258,45741.263353840135,47727.770104472525,48398.36014109653,46581.40626316382,48545.775270694394,50251.98153199838,51812.892121004756,53133.853733842094,54580.86730392949,55285.56869178607,56112.2253713869,58184.857164756926,60890.56892586977,62874.611708958255,61468.33722084738,68424.56003159497,74535.63653926291,78190.06407355345,81275.84367817624
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GIN,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Guinea,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,752.8225035723877,825.2899770530956,948.4974212970546,1143.300035140776,1242.5292252038994,1311.3305136256333,1430.6643528676414,1440.157665151015,1657.963932307056,1789.9955492456686,1930.9918425794858,1875.5396677239623,2272.6329872427436,2822.839322846816,3361.5282015454973,4061.698672424434,505.87694425030315,504.5108687994058,574.0011272251821,570.4934179867868,604.304422702532,656.4237311951799,692.6478026628057,670.7417782299591,671.5763850587522,713.0314605586832,726.0254425837992,695.5817422582603,647.3799208327779,610.6148429427624,518.1570669240263,483.0851202147411,495.9160735592694,566.4854058806803,584.8977405380814,463.1776868509797,446.9805541350129,650.1485753047425,703.5328257843689,662.1859146655747,659.2353262113152,636.6949587476483,699.3533772121965,748.4550208247343,765.1469993892789,747.3569667594476,711.9965097823158,833.598621691121,933.273615633705,1031.341464807319,1053.660976964146,1244.9655047791368,1416.5961201176417,1555.4937580686064,1694.9537586219271
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYR,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Syrian Arab Republic,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,183.52506973527787,196.29356163391853,223.93420914049196,234.8997475919448,254.21752706222287,270.8305847961645,239.30759595907995,272.91463943494404,293.330341001656,363.5548444457615,335.45136680094254,392.51506952544827,448.23775855647915,458.8300611864185,706.5795802213255,903.7134620664052,976.4892401659698,951.2403985873552,1107.7830447753422,1146.3617926097377,1458.2397643409454,1675.797474038065,1702.6806249131612,1775.8320370570923,1706.219448105245,1543.7649395518988,1208.1608426221712,997.1281343551348,897.70876335774,809.0440281624587,978.489616979607,1000.0779868494708,990.1382511917082,992.7713674750978,712.3877166357828,779.6991001537441,918.1958573627878,940.826589804978,960.8375049277255,978.1745316949603,1138.188485427796,1186.8291347402724,1183.2473451033038,1220.1790772559982,1368.1148230028018,1533.901665365676,1718.7834721733766,1937.6113857802743,2429.124770871886,2462.2019364320217,2730.614771189487,2952.1434937225717,1897.6611501869634,985.8926692270542,1060.5910588685424,847.7316319425646,656.3490586313004,851.5020052541528,1098.0668642356993,1109.539260360489,572.3552898319015,663.6142457068148,1051.6714958746265,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Netherlands,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1156.3859772776693,1254.4202826213088,1342.3682718701507,1436.8872608393428,1668.3308611469736,1848.0980153242742,1986.2702443166002,2154.579697430458,2364.3594192662963,2646.8458176682475,2931.3807802652545,3383.58715579996,4110.491645519477,5353.442651549807,6450.457702364927,7346.304747686197,7937.352467139982,9180.299184617717,11195.842487295913,12817.379015340077,13812.160009819121,11537.402686509213,11088.954315088482,10696.077495868194,9991.843776556509,9940.73843593795,13804.136060326535,16734.151405231565,17770.61623763876,17423.296158552334,21322.194480270347,21764.214498725833,23939.217348210845,23156.44044445681,24682.58667428631,29301.194049237634,29063.62365325361,26744.960131809723,27924.28180899401,28318.746653835686,26225.16977341492,26955.71280322782,29446.53308728684,35896.75046307055,40611.34143530906,42165.39616838797,45123.54324064257,52100.79962859473,58246.702690587445,53172.02615814183,51305.73385339734,54701.77280306112,50473.94420026887,52602.28605207657,53457.22348643223,45793.81354346971,46808.52914925029,49513.6817346384,53955.07700242659,53554.900749147506,53467.92774137373,60141.98809114923,59123.31855648699,63515.60307800192,67520.42189562811
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.5815421388177,1326.5628573714594,1317.4667513138538,1389.1649713765066,1465.0460568586832,1499.492176570189,1476.1718500023783,1335.5531952935903,1156.217473457691,1257.6985700968853,1422.1908864354423,1543.7014139277364,1570.1043996272826,1664.2457166927647,2035.2023412176636,2191.781787368677,2557.075623566985,2880.798437079093,3067.438727356144,3315.2975390928173,3352.112595060428,3272.1543236070793,3527.6138241317785,3620.3604871593707,3562.3309427025574,3656.858271370109,3233.5686383585844,3678.63565662194,3799.9552701516295,3455.0285291171217,2592.30591217647
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLB,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Solomon Islands,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,153.45078408818438,166.88803768837323,165.85734477864145,,277.1131209076099,219.50285982593468,291.252272932738,433.443902987382,371.71880618864793,401.0774168553869,434.4098133352334,500.05822306256573,657.8583296696837,767.8506163453835,785.8309127838794,755.8856533437224,686.2641401829783,664.6964404828074,586.0223522052103,505.82180652566507,514.6693332730996,567.0229355801711,538.1017628705027,648.3252126240978,665.8331041326588,763.8579685495224,828.8699977916912,1078.0410925873973,1220.1791931112582,1289.3303692343525,1292.239519464695,1091.8909688932574,1133.6225653179074,953.1719013770598,911.7919353854105,756.8902964907919,895.9842425465007,986.0709535038892,1144.4923339768086,1255.62447417684,1390.1487095670689,1525.846662612026,1554.7067100638596,1685.145358237572,1924.0579564313298,2066.257386383555,2161.386275439168,2164.9528987300178,2045.477215266493,2082.6238312421337,2143.5767048927164,2278.19908624102,2223.658909424658,2063.3278099196723,2043.4441317065825,1877.7810449095555,1882.6439414804188,1933.55538435227
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JAM,WB_WDI_NY_GDP_PCAP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,0,A,PU,Annual,Jamaica,GDP per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,423.67409818409516,447.0572736605943,458.31399779656726,480.33649971171457,514.4165113134519,549.4935604141075,612.210363692586,633.259680574944,591.0458171732439,642.1334210589152,747.9093991724914,808.8665060837545,970.8029064055022,971.802513228502,1192.9856935095756,1416.7754676456839,1449.977882067003,1569.4212705113111,1262.4032723946457,1144.175629865845,1248.7448472741758,1370.4127790154132,1494.4020828321804,1619.4784563122041,1048.1340539553357,916.8722928386744,1191.3497678214167,1410.8459870242768,1632.0148165615929,1864.984975500619,1929.5989190585683,1710.3005824372235,1458.1014689263498,2220.5151832718648,2202.858310384713,2630.8493538282164,2928.896926119964,3296.916348050831,3419.4935286873906,3431.568134683354,3453.0925280022648,3503.550266888578,3680.6455172772385,3549.7075839461813,3807.562931245522,4184.4397486749685,4417.001271353632,4716.486125427274,5029.800952817452,4428.381533335574,4809.977380311997,5232.636449181319,5340.833332321578,5124.213014111368,4975.113254598724,5339.307182568061,5302.29553353854,5605.43541173019,5976.903626443367,6030.688964159207,5299.045308042832,5625.678062712359,6626.475023885385,7542.400842753452,7753.800695543198
